iter	Logloss
186	0.2325296311
187	0.2324064128
188	0.2323352051
189	0.2322834269
190	0.2321318127
191	0.2320339239
192	0.2319335211
193	0.231884475
194	0.2317763265
195	0.2316560727
196	0.231551659
197	0.2314746384
198	0.2313969785
199	0.2312802415
200	0.2311996605
201	0.231094651
202	0.2310157122
203	0.2308926828
204	0.2307745507
205	0.230721857
206	0.2306007022
207	0.2305425444
208	0.2304495385
209	0.2303620257
210	0.2302835228
211	0.2302273996
212	0.2301202393
213	0.2300582886
214	0.2299269613
215	0.2298608398
216	0.2297890799
217	0.2296960449
218	0.2296033441
219	0.2295133754
220	0.2294470651
221	0.2293921916
222	0.2293488421
223	0.2292621576
224	0.2292066883
225	0.2291586013
226	0.2290505545
227	0.2290017264
228	0.2288792201
229	0.2288086228
230	0.2287376186
231	0.2286930484
232	0.2285826329
233	0.2285224406
234	0.2284948149
235	0.2284849621
236	0.2284301177
237	0.2283319818
238	0.2282624163
239	0.2281933594
240	0.2281229946
241	0.2280296253
242	0.2279942976
243	0.227902367
244	0.2278485689
245	0.2277753557
246	0.2276821754
247	0.2276098487
248	0.2275476946
249	0.2274913969
250	0.2274138532
251	0.2273609561
252	0.2272949655
253	0.2271841576
254	0.2271223813
255	0.227054734
256	0.226961234
257	0.2268886893
258	0.2268430001
259	0.226776559
260	0.226744036
261	0.2266750808
262	0.2265982782
263	0.2265264166
264	0.226436753
265	0.2263733491
266	0.2263297962
267	0.2262417748
268	0.2261754209
269	0.2261423165
270	0.2260315087
271	0.225957162
272	0.2259216309
273	0.2258462088
274	0.2258138747
275	0.2257717024
276	0.2257404727
277	0.2256709362
278	0.2255920991
279	0.225521124
280	0.2254183233
281	0.2253711809
282	0.22534434
283	0.2253149123
284	0.2252545602
285	0.2251883516
286	0.2251593744
287	0.2250658889
288	0.2250070336
289	0.224960952
290	0.2248806617
291	0.2248396229
292	0.2247896903
293	0.2247106934
294	0.2246207973
295	0.2245472354
296	0.224516805
297	0.2244620623
298	0.224422622
299	0.2243561372
300	0.22431831
301	0.2242424665
302	0.2241845122
303	0.2241172282
304	0.2240632993
305	0.2240107945
306	0.2239599028
307	0.2239338321
308	0.2238757034
309	0.2238487026
310	0.2238017636
311	0.2237142508
312	0.2236855352
313	0.2236154901
314	0.2235597447
315	0.2235067168
316	0.2234513201
317	0.2234150332
318	0.2233697655
319	0.2233312116
320	0.22326634
321	0.2232083275
322	0.2231775774
323	0.2231197829
324	0.2230891346
325	0.223057498
326	0.2230232457
327	0.2229873221
328	0.2229432024
329	0.2229120164
330	0.2228533354
331	0.2227957299
332	0.2227604457
333	0.2227010818
334	0.2226522682
335	0.222603658
336	0.2225611369
337	0.222516465
338	0.2224946231
339	0.2224595133
340	0.2224266997
341	0.2223962984
342	0.222349185
343	0.2222908238
344	0.2222476923
345	0.2221936907
346	0.2221234131
347	0.2220812407
348	0.2220489938
349	0.2219917515
350	0.221949492
351	0.2219148763
352	0.2218836176
353	0.221842942
354	0.2217685372
355	0.2217455328
356	0.2217130243
357	0.2216541399
358	0.221603815
359	0.2215688651
360	0.2215118844
361	0.2214485677
362	0.2214234416
363	0.221366984
364	0.2213118199
365	0.2212736584
366	0.2212226359
367	0.2211728196
368	0.2211268834
369	0.2210961623
370	0.2210685657
371	0.2209902518
372	0.2209467861
373	0.2208730498
374	0.2208267357
375	0.2207824562
376	0.2207244292
377	0.220690017
378	0.2206263806
379	0.2205955578
380	0.2205390422
381	0.2205047462
382	0.2204555838
383	0.2203928339
384	0.2203631011
385	0.2203564308
386	0.2202915446
387	0.2202273269
388	0.2201648095
389	0.2201057507
390	0.2200608608
391	0.2200167992
392	0.219974278
393	0.2198900786
394	0.2198434884
395	0.2197992815
396	0.219737607
397	0.2197020612
398	0.2196892729
399	0.2196501814
400	0.2196045213
401	0.2195710391
402	0.2195288813
403	0.2195026943
404	0.2194623675
405	0.2194327218
406	0.2193861607
407	0.2193378848
408	0.2192915126
409	0.2192340669
410	0.2192061651
411	0.2191656203
412	0.2191263253
413	0.2190460932
414	0.2189971343
415	0.2189504133
416	0.2188927351
417	0.2188441831
418	0.2187990461
419	0.218747515
420	0.2186856079
421	0.2186354864
422	0.2186038935
423	0.2185618373
424	0.2185081555
425	0.2184750802
426	0.2184144229
427	0.2183790225
428	0.218333188
429	0.2182773408
430	0.2182320731
431	0.2181932431
432	0.2181496466
433	0.2180938139
434	0.2180479068
435	0.2180051676
436	0.2179638381
437	0.2179198347
438	0.2178636678
439	0.2178325253
440	0.2177963983
441	0.2177537464
442	0.2176847621
443	0.2176516724
444	0.2175976708
445	0.2175486828
446	0.2175091843
447	0.2174437314
448	0.2173951503
449	0.2173746309
450	0.217334057
451	0.2173051235
452	0.2172555106
453	0.217213251
454	0.2171853928
455	0.2171405029
456	0.217084307
457	0.2170261928
458	0.2169697062
459	0.2169194103
460	0.216876584
461	0.2168282936
462	0.2167689441
463	0.2167325846
464	0.2166790336
465	0.2166315279
466	0.2165843128
467	0.2165510922
468	0.2164982387
469	0.216463129
470	0.2164196341
471	0.2163740612
472	0.2163229079
473	0.2162896147
474	0.216247268
475	0.2162064325
476	0.2161347162
